iter	Passed	Remaining
0	4	468
1	7	386
2	13	440
3	16	385
4	18	357
5	20	326
6	22	304
7	24	286
8	26	271
9	29	262
10	31	252
11	33	243
12	34	232
13	36	222
14	37	212
15	38	204
16	40	195
17	41	188
18	42	182
19	44	176
20	45	170
21	46	165
22	47	160
23	49	155
24	50	151
25	51	147
26	53	143
27	54	139
28	55	136
29	57	133
30	58	131
31	60	128
32	61	125
33	63	123
34	64	120
35	66	118
36	67	115
37	69	113
38	71	111
39	72	108
40	74	106
41	74	103
42	76	100
43	77	98
44	79	96
45	80	94
46	82	92
47	83	90
48	84	88
49	86	86
50	87	84
51	89	82
52	90	80
53	92	78
54	93	76
55	94	74
56	96	72
57	97	70
58	99	69
59	100	67
60	102	65
61	103	63
62	105	61
63	106	60
64	108	58
65	110	56
66	111	54
67	113	53
68	114	51
69	116	50
70	118	48
71	120	46
72	121	45
73	123	43
74	124	41
75	126	39
76	129	38
77	131	37
78	132	35
79	133	33
80	135	31
81	137	30
82	139	28
83	140	26
84	141	24
85	142	23
86	144	21
87	145	19
88	146	18
89	148	16
90	149	14
91	151	13
92	152	11
93	153	9
94	154	8
95	155	6
96	157	4
97	158	3
98	159	1
99	160	0
