iter	Passed	Remaining
0	396	396120
1	402	200817
2	407	135547
3	414	103238
4	417	83135
5	419	69433
6	420	59650
7	421	52301
8	423	46582
9	424	42004
10	427	38395
11	428	35290
12	430	32647
13	431	30376
14	432	28409
15	434	26691
16	435	25172
17	436	23817
18	437	22608
19	440	21585
20	442	20615
21	443	19718
22	444	18895
23	446	18142
24	447	17450
25	448	16811
26	449	16216
27	451	15672
28	452	15159
29	454	14696
30	456	14261
31	457	13841
32	458	13445
33	460	13075
34	461	12723
35	462	12391
36	463	12075
37	465	11777
38	466	11494
39	467	11226
40	471	11032
41	472	10788
42	474	10554
43	475	10330
44	476	10116
45	477	9913
46	479	9717
47	480	9529
48	481	9349
49	483	9187
50	485	9043
51	487	8889
52	489	8738
53	490	8593
54	493	8471
55	495	8347
56	496	8219
57	500	8136
58	502	8014
59	504	7898
60	505	7787
61	509	7704
62	511	7605
63	514	7524
64	516	7428
65	518	7330
66	519	7234
67	520	7140
68	522	7050
69	524	6961
70	525	6879
71	528	6814
72	530	6735
73	531	6654
74	533	6575
75	534	6500
76	536	6432
77	538	6361
78	539	6289
79	540	6219
80	541	6149
81	544	6099
82	545	6028
83	547	5966
84	548	5907
85	550	5855
86	552	5799
87	553	5740
88	555	5682
89	556	5625
90	557	5569
91	559	5526
92	561	5475
93	562	5426
94	564	5379
95	566	5335
96	568	5289
97	569	5242
98	570	5196
99	572	5151
100	574	5117
101	576	5077
102	578	5037
103	580	4997
104	581	4958
105	583	4923
106	585	4883
107	586	4843
108	587	4803
109	590	4774
110	591	4738
111	593	4702
112	594	4667
113	596	4635
114	597	4601
115	599	4566
116	600	4529
117	601	4495
118	602	4461
119	604	4436
120	606	4405
121	607	4374
122	609	4344
123	610	4316
124	612	4288
125	613	4258
126	614	4227
127	616	4197
128	617	4169
129	619	4147
130	621	4121
131	622	4095
132	624	4069
133	625	4043
134	627	4020
135	628	3995
136	630	3969
137	631	3944
138	632	3919
139	635	3901
140	636	3878
141	637	3853
142	639	3830
143	640	3808
144	642	3788
145	643	3766
146	645	3743
147	646	3720
148	647	3698
149	649	3682
150	651	3662
151	652	3642
152	654	3623
153	655	3602
154	657	3582
155	658	3561
156	659	3541
157	660	3521
158	662	3501
159	663	3482
160	665	3467
161	666	3450
162	668	3431
163	669	3412
164	670	3394
165	672	3376
166	673	3358
167	674	3340
168	675	3322
169	676	3305
170	678	3288
171	680	3275
172	682	3260
173	683	3245
174	685	3229
175	686	3214
176	688	3200
177	689	3185
178	691	3170
179	692	3155
180	694	3143
181	696	3131
182	697	3115
183	699	3100
184	700	3085
185	701	3070
186	702	3056
187	704	3041
188	705	3026
189	706	3012
190	707	2998
191	709	2986
192	711	2974
193	712	2960
194	714	2947
195	715	2934
196	716	2920
197	717	2907
198	718	2893
199	720	2880
200	721	2867
201	722	2854
202	723	2841
203	726	2833
204	727	2821
205	728	2809
206	730	2796
207	731	2784
208	732	2772
209	733	2760
210	734	2748
211	736	2736
212	737	2724
213	738	2713
214	740	2704
215	742	2693
216	743	2682
217	744	2670
218	745	2659
219	746	2648
220	748	2637
221	749	2626
222	750	2615
223	751	2604
224	753	2593
225	756	2591
226	758	2582
227	759	2572
228	761	2563
229	762	2553
230	764	2543
231	765	2534
232	766	2524
233	768	2515
234	770	2508
235	772	2499
236	773	2490
237	775	2481
238	776	2472
239	778	2464
240	779	2455
241	780	2445
242	781	2435
243	783	2426
244	785	2422
245	788	2415
246	790	2409
247	792	2401
248	793	2394
249	795	2385
250	796	2376
251	797	2366
252	798	2357
253	800	2351
